celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_judge_score,week2_avg_judge_score,week3_avg_judge_score,week4_avg_judge_score,week5_avg_judge_score,week6_avg_judge_score,week7_avg_judge_score,week8_avg_judge_score,week9_avg_judge_score,week10_avg_judge_score,week11_avg_judge_score,week1_all_judge_score,week2_all_judge_score,week3_all_judge_score,week4_all_judge_score,week5_all_judge_score,week6_all_judge_score,week7_all_judge_score,week8_all_judge_score,week9_all_judge_score,week10_all_judge_score,week11_all_judge_score,week1_rank_judge_score,week2_rank_judge_score,week3_rank_judge_score,week4_rank_judge_score,week5_rank_judge_score,week6_rank_judge_score,week7_rank_judge_score,week8_rank_judge_score,week9_rank_judge_score,week10_rank_judge_score,week11_rank_judge_score,week1_percent_judge_score,week2_percent_judge_score,week3_percent_judge_score,week4_percent_judge_score,week5_percent_judge_score,week6_percent_judge_score,week7_percent_judge_score,week8_percent_judge_score,week9_percent_judge_score,week10_percent_judge_score,week11_percent_judge_score
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,4,3,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05660377358490566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,5,6,NA,7,7,7,NA,7,6,7,NA,6,5,5,NA,6,6,6,NA,7,6,6,NA,7.5,7.5,7.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.666666666666667,7,6.666666666666667,5.333333333333333,6,6.333333333333333,7.5,NA,NA,NA,NA,17,21,20,16,18,19,22.5,NA,NA,NA,NA,8,6,9,7,6,7,5,NA,NA,NA,NA,0.0825242718446602,0.08571428571428572,0.09174311926605505,0.08421052631578947,0.10227272727272728,0.11176470588235295,0.14563106796116504,NA,NA,NA,NA
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,7,7,NA,7,8,7,NA,8,8,8,NA,7,9,8,NA,8,8,8,NA,8,8,8,NA,9,9,9,NA,8,7.5,8,NA,9.5,10,9.5,NA,0,0,0,NA,NA,NA,NA,NA,7,7.333333333333333,8,8,8,8,9,7.833333333333333,9.666666666666666,NA,NA,21,22,24,24,24,24,27,23.5,29,NA,NA,3,5,1,3,4,4,3,4,4,NA,NA,0.10194174757281553,0.08979591836734693,0.11009174311926606,0.12631578947368421,0.13636363636363635,0.1411764705882353,0.17475728155339806,0.18725099601593626,0.24472573839662448,NA,NA
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6,5,5,NA,6,6,6,NA,6,5,5,NA,6,4,5,NA,4,5,4,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.333333333333333,6,5.333333333333333,5,4.333333333333333,NA,NA,NA,NA,NA,NA,16,18,16,15,13,NA,NA,NA,NA,NA,NA,9,11,10,9,8,NA,NA,NA,NA,NA,NA,0.07766990291262135,0.07346938775510205,0.07339449541284404,0.07894736842105263,0.07386363636363637,NA,NA,NA,NA,NA,NA
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,8,8,NA,9,9,9,NA,7,7,7,NA,7,7,7,NA,9,10,9,NA,9,9,10,NA,10,9.5,10,NA,9,8.5,9,NA,10,10,10,NA,9.6666,9,9.6666,NA,NA,NA,NA,NA,7.666666666666667,9,7,7,9.333333333333334,9.333333333333334,9.833333333333334,8.833333333333334,10,9.444400000000002,NA,23,27,21,21,28,28,29.5,26.5,30,28.333200000000005,NA,2,1,6,5,2,1,1,3,1,3,NA,0.11165048543689321,0.11020408163265306,0.0963302752293578,0.11052631578947368,0.1590909090909091,0.16470588235294117,0.19093851132686085,0.21115537848605578,0.25316455696202533,0.3281854310465651,NA
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,7,7,NA,8,9,9,NA,7,8,8,NA,9,8,9,NA,10,10,10,NA,9,9,10,NA,9,8.5,9.5,NA,10,9,10,NA,10,9.5,10,NA,9.6666,9.6666,10,NA,NA,NA,NA,NA,7,8.666666666666666,7.666666666666667,8.666666666666666,10,9.333333333333334,9,9.666666666666666,9.833333333333334,9.777733333333334,NA,21,26,23,26,30,28,27,29,29.5,29.3332,NA,3,2,5,2,1,1,3,1,3,1,NA,0.10194174757281553,0.10612244897959183,0.10550458715596331,0.1368421052631579,0.17045454545454544,0.16470588235294117,0.17475728155339806,0.23107569721115537,0.2489451476793249,0.33976850076853665,NA
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6,6,7,NA,6,7,7,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.333333333333333,6.666666666666667,7,NA,NA,NA,NA,NA,NA,NA,NA,19,20,21,NA,NA,NA,NA,NA,NA,NA,NA,5,10,6,NA,NA,NA,NA,NA,NA,NA,NA,0.09223300970873786,0.08163265306122448,0.0963302752293578,NA,NA,NA,NA,NA,NA,NA,NA
Paulina Porizkova,Alec Mazo,Model,NA,Czechoslovakia,41,4,Eliminated Week 2,11,6,6,7,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.333333333333333,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09223300970873786,0.08571428571428572,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heather Mills,Jonathan Roberts,Model,NA,England,39,4,Eliminated Week 6,7,6,6,6,NA,8,8,8,NA,8,8,8,NA,7,8,8,NA,7,7,7,NA,7,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6,8,8,7.666666666666667,7,7.666666666666667,NA,NA,NA,NA,NA,18,24,24,23,21,23,NA,NA,NA,NA,NA,7,3,1,4,5,5,NA,NA,NA,NA,NA,0.08737864077669903,0.09795918367346938,0.11009174311926606,0.12105263157894737,0.11931818181818182,0.13529411764705881,NA,NA,NA,NA,NA
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5,4,4,NA,7,7,7,NA,7,7,7,NA,7,7,7,NA,6,6,5,NA,7,7,7,NA,6,6.5,6.5,NA,6.5,6.5,6,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4.333333333333333,7,7,7,5.666666666666667,7,6.333333333333333,6.333333333333333,NA,NA,NA,13,21,21,21,17,21,19,19,NA,NA,NA,11,6,6,5,7,6,6,5,NA,NA,NA,0.06310679611650485,0.08571428571428572,0.0963302752293578,0.11052631578947368,0.09659090909090909,0.12352941176470589,0.12297734627831715,0.15139442231075698,NA,NA,NA
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8,8,8,NA,8,8,8,NA,8,8,8,NA,10,9,9,NA,8,8,9,NA,9,9,9,NA,10,9.5,10,NA,9.5,9,9,NA,10,10,10,NA,9.6666,9.3333,9.6666,NA,NA,NA,NA,NA,8,8,8,9.333333333333334,8.333333333333334,9,9.833333333333334,9.166666666666666,10,9.5555,NA,24,24,24,28,25,27,29.5,27.5,30,28.6665,NA,1,3,1,1,3,3,1,2,1,2,NA,0.11650485436893204,0.09795918367346938,0.11009174311926606,0.14736842105263157,0.14204545454545456,0.1588235294117647,0.19093851132686085,0.21912350597609562,0.25316455696202533,0.3320460681848982,NA
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5,5,5,NA,7,7,7,NA,8,8,8,NA,6,5,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5,7,8,5.333333333333333,NA,NA,NA,NA,NA,NA,NA,15,21,24,16,NA,NA,NA,NA,NA,NA,NA,10,6,1,7,NA,NA,NA,NA,NA,NA,NA,0.07281553398058252,0.08571428571428572,0.11009174311926606,0.08421052631578947,NA,NA,NA,NA,NA,NA,NA
Cameron Mathison,Edyta Sliwinska,Actor/Actress,NA,Canada,38,5,Eliminated Week 8,5,7,7,7,NA,7,7,7,NA,8,7,8,NA,9,9,9,NA,8,9,9,NA,9,8,8,NA,8.5,8.5,8.5,NA,8.5,8.5,8.5,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7,7,7.666666666666667,9,8.666666666666666,8.333333333333334,8.5,8.5,NA,NA,NA,21,21,23,27,26,25,25.5,25.5,NA,NA,NA,5,5,7,2,3,4,5,3,NA,NA,NA,0.08171206225680934,0.08823529411764706,0.09623430962343096,0.11538461538461539,0.1306532663316583,0.1388888888888889,0.16346153846153846,0.19391634980988592,NA,NA,NA
Jane Seymour,Tony Dovolani,Actor/Actress,NA,England,56,5,Eliminated Week 7,6,8,8,8,NA,7,7,7,NA,9,9,9,NA,8,9,9,NA,8,9,9,NA,8,7,7,NA,8,8.5,8.5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,8,7,9,8.666666666666666,8.666666666666666,7.333333333333333,8.333333333333334,NA,NA,NA,NA,24,21,27,26,26,22,25,NA,NA,NA,NA,3,5,1,5,3,7,6,NA,NA,NA,NA,0.0933852140077821,0.08823529411764706,0.11297071129707113,0.1111111111111111,0.1306532663316583,0.12222222222222222,0.16025641025641027,NA,NA,NA,NA
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,8,9,NA,9,8,9,NA,9,9,9,NA,10,10,10,NA,9,9,10,NA,9,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,8.666666666666666,8.666666666666666,9,10,9.333333333333334,8.333333333333334,NA,NA,NA,NA,NA,26,26,27,30,28,25,NA,NA,NA,NA,NA,1,2,1,1,2,4,NA,NA,NA,NA,NA,0.10116731517509728,0.1092436974789916,0.11297071129707113,0.1282051282051282,0.1407035175879397,0.1388888888888889,NA,NA,NA,NA,NA
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,7,7,NA,7,7,7,NA,9,8,9,NA,8,10,9,NA,8,9,8,NA,9,9,9,NA,8.5,8.5,9.5,NA,8.5,8.5,8,NA,9.5,10,9.5,NA,0,0,0,NA,NA,NA,NA,NA,7,7,8.666666666666666,9,8.333333333333334,9,8.833333333333334,8.333333333333334,9.666666666666666,NA,NA,21,21,26,27,25,27,26.5,25,29,NA,NA,5,5,4,2,5,3,2,4,3,NA,NA,0.08171206225680934,0.08823529411764706,0.1087866108786611,0.11538461538461539,0.12562814070351758,0.15,0.16987179487179488,0.19011406844106463,0.24786324786324787,NA,NA
Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,6,6,NA,7,7,7,NA,7,7,7,NA,7,8,8,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6,7,7,7.666666666666667,NA,NA,NA,NA,NA,NA,NA,18,21,21,23,NA,NA,NA,NA,NA,NA,NA,11,5,8,8,NA,NA,NA,NA,NA,NA,NA,0.07003891050583658,0.08823529411764706,0.08786610878661087,0.09829059829059829,NA,NA,NA,NA,NA,NA,NA
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,5,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,5.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0622568093385214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,7,7,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08171206225680934,0.08823529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helio Castroneves,Julianne Hough,Racing Driver,NA,Brazil,32,5,1st Place,1,8,9,8,NA,9,9,9,NA,8,8,8,NA,9,9,9,NA,8,7,8,NA,9,10,9,NA,9,8.5,8.5,NA,9.5,9.5,9.5,NA,10,10,10,NA,9,9.3333,9.6666,NA,NA,NA,NA,NA,8.333333333333334,9,8,9,7.666666666666667,9.333333333333334,8.666666666666666,9.5,10,9.333300000000001,NA,25,27,24,27,23,28,26,28.5,30,27.999900000000004,NA,2,1,6,2,6,2,3,1,1,2,NA,0.09727626459143969,0.1134453781512605,0.100418410041841,0.11538461538461539,0.11557788944723618,0.15555555555555556,0.16666666666666666,0.21673003802281368,0.2564102564102564,0.35294095402801606,NA
Mel B,Maksim Chmerkoskiy,Singer/Rapper,NA,England,32,5,2nd Place,2,8,8,8,NA,7,8,8,NA,9,9,9,NA,8,9,9,NA,10,9,10,NA,10,10,10,NA,9,9,9,NA,9,9.5,9.5,NA,10,10,10,NA,9.3333,9.3333,9.6666,NA,NA,NA,NA,NA,8,7.666666666666667,9,8.666666666666666,9.666666666666666,10,9,9.333333333333334,10,9.4444,NA,24,23,27,26,29,30,27,28,30,28.333199999999998,NA,3,4,1,5,1,1,1,2,1,1,NA,0.0933852140077821,0.09663865546218488,0.11297071129707113,0.1111111111111111,0.1457286432160804,0.16666666666666666,0.17307692307692307,0.21292775665399238,0.2564102564102564,0.35714222688890257,NA
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,7,6,NA,5,5,5,NA,6,6,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6.333333333333333,5,6,NA,NA,NA,NA,NA,NA,NA,NA,19,15,18,NA,NA,NA,NA,NA,NA,NA,NA,10,11,10,NA,NA,NA,NA,NA,NA,NA,NA,0.07392996108949416,0.06302521008403361,0.07531380753138076,NA,NA,NA,NA,NA,NA,NA,NA
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,7,7,NA,8,8,8,NA,9,8,9,NA,9,9,8,NA,7,7,7,NA,8,8,7,NA,9,8.5,8.5,NA,8,8.5,8,NA,9.5,9.5,9,NA,8,7.5,7.5,NA,NA,NA,NA,NA,7,8,8.666666666666666,8.666666666666666,7,7.666666666666667,8.666666666666666,8.166666666666666,9.333333333333334,7.666666666666667,NA,21,24,26,26,21,23,26,24.5,28,23,NA,5,3,4,5,7,6,3,5,4,3,NA,0.08171206225680934,0.10084033613445378,0.1087866108786611,0.1111111111111111,0.10552763819095477,0.12777777777777777,0.16666666666666666,0.18631178707224336,0.23931623931623933,0.2899168190830813,NA
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,7,7,NA,6,6,6,NA,6,7,7,NA,7,8,7,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,7,6,6.666666666666667,7.333333333333333,7,NA,NA,NA,NA,NA,NA,21,18,20,22,21,NA,NA,NA,NA,NA,NA,5,10,9,9,7,NA,NA,NA,NA,NA,NA,0.08171206225680934,0.07563025210084033,0.08368200836820083,0.09401709401709402,0.10552763819095477,NA,NA,NA,NA,NA,NA
Cristian de la Fuente,Cheryl Burke,Actor/Actress,NA,Chile,34,6,3rd Place,3,7,7,7,NA,7,6,7,NA,8,8,9,NA,9,8,9,NA,7,8,8,NA,9,9,9,NA,7.5,7.5,8,NA,10,9,9.5,NA,9.5,9,9.5,NA,9,8,9,NA,NA,NA,NA,NA,7,6.666666666666667,8.333333333333334,8.666666666666666,7.666666666666667,9,7.666666666666667,9.5,9.333333333333334,8.666666666666666,NA,21,20,25,26,23,27,23,28.5,28,26,NA,6,8,3,4,5,3,6,1,2,3,NA,0.08641975308641975,0.07782101167315175,0.10964912280701754,0.11555555555555555,0.11734693877551021,0.15,0.1488673139158576,0.21348314606741572,0.2545454545454545,0.3076923076923077,NA
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,6,6,NA,6,5,5,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,6,5.333333333333333,7,NA,NA,NA,NA,NA,NA,NA,NA,18,16,21,NA,NA,NA,NA,NA,NA,NA,NA,8,11,6,NA,NA,NA,NA,NA,NA,NA,NA,0.07407407407407407,0.0622568093385214,0.09210526315789473,NA,NA,NA,NA,NA,NA,NA,NA
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,8,8,NA,7,7,7,NA,8,9,9,NA,7,7,8,NA,7,7,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,8,7,8.666666666666666,7.333333333333333,7,NA,NA,NA,NA,NA,NA,24,21,26,22,21,NA,NA,NA,NA,NA,NA,2,6,2,8,8,NA,NA,NA,NA,NA,NA,0.09876543209876543,0.08171206225680934,0.11403508771929824,0.09777777777777778,0.10714285714285714,NA,NA,NA,NA,NA,NA
